digits,pi_trunc_str,pi_trunc,X,Y,Z,abs_error,abs_error_mpf
5,3.14159,3.141590000013821,0.5780513628621076,0.0,0.8160003810619576,2.653575972400013e-06,2.653575972e-6
10,3.1415926535,3.1415926535,0.5780509644579543,0.0,0.816000663289699,8.979318433952318e-11,8.97931843395232e-11
15,3.141592653589793,3.141592653589793,0.5780509644444725,0.0,0.8160006632992495,2.384641479753172e-16,2.3846414797531724056e-16
20,3.14159265358979323846,,0.5780509644444725,0.0,0.8160006632992495,,2.643391937503641712026562e-21
25,3.1415926535897932384626433,,0.5780509644444725,0.0,0.8160006632992495,,8.32794264718302026635036520824e-26
30,3.141592653589793238462643383279,,0.5780509644444725,0.0,0.8160006632992495,,5.0288383200450831286673541197294389e-31
35,3.14159265358979323846264338327950288,,0.5780509644444725,0.0,0.8160006632992495,,4.197158094315094307209074570615271517515e-36
40,3.1415926535897932384626433832795028841971,,0.5780509644444725,0.0,0.8160006632992495,,6.9399329820676024166305145446394668036810228e-41
45,3.141592653589793238462643383279502884197169399,,0.5780509644444725,0.0,0.8160006632992495,,3.7510547977744157007863627957583586754368858509349e-46
50,3.1415926535897932384626433832795028841971693993751,,0.5780509644444725,0.0,0.8160006632992495,,5.820971775235371942068972345980885712035485946039547994e-51
55,3.1415926535897932384626433832795028841971693993751058209,,0.5780509644444725,0.0,0.8160006632992495,,7.49445094921794581802867306808795346254023714568387482070613e-56
60,3.141592653589793238462643383279502884197169399375105820974944,,0.5780509644444725,0.0,0.8160006632992495,,5.9230595372536572688752628501396287359916645306598745025749639048e-61
65,3.1415926535897932384626433832795028841971693993751058209749445923,,0.5780509644444725,0.0,0.8160006632992495,,7.816399449208589409117925860672416689040632199923660929670499642816444e-66
70,3.1415926535897932384626433832795028841971693993751058209749445923078164,,0.5780509644444725,0.0,0.8160006632992495,,6.28610533705655414744698521520141879680412485284824558141056507192348452311e-72
75,3.141592653589793238462643383279502884197169399375105820974944592307816406286,,0.5780509644444725,0.0,0.8160006632992495,,2.0899803745461296122287466067263352525893458095604987273547078893876285250442586e-76
80,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899,,0.5780509644444725,0.0,0.8160006632992495,,8.628026819943997859431895858700200707607213676957621268320805821915273994083177569906e-81
85,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628,,0.5780509644444725,0.0,0.8160006632992495,,3.48251113760494708150068692190291023209904580857155656465547736991556163407304365714375265e-86
90,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825,,0.5780509644444725,0.0,0.8160006632992495,,3.4211806119895583877195673288217920889990464234410037250405336395976108788542058655266957328793e-91
95,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211,,0.5780509644444725,0.0,0.8160006632992495,,7.06797972441935173778884541031992028724598254757383675997475761890165669371025728610044144165959366e-96
100,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679,,0.5780509644444725,0.0,0.8160006632992495,,8.21482081378658283836852365758594924651130543925023694662309628070266806251822503461625399176152452066359e-101
105,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148,,0.5780509644444725,0.0,0.8160006632992495,,8.6514838959254771362742639415468718157709234348883037902933533297982885702913266438035448880327831847017323484e-107
110,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651,,0.5780509644444725,0.0,0.8160006632992495,,3.282288520599051627376049698309716490990339163737172192317504944830992353161093697468294948910085110769094053630389e-111
115,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823,,0.5780509644444725,0.0,0.8160006632992495,,6.64697987064449265383795867448384674759197081766962659584393278256567184499166292807067475497419504977499416390681926902e-117
120,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647,,0.5780509644444725,0.0,0.8160006632992495,,9.3844213622234376075610761303557881087856958211473647040844124969938748439376215148207748690659831801892742548815246721453223e-122
125,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384,,0.5780509644444725,0.0,0.8160006632992495,,4.609529940077204576365652231612920640204213561361175295940507211313619030116655594487535128080402936410675838232850487409322001053e-126
130,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095,,0.5780509644444725,0.0,0.8160006632992495,,5.05824014210004397123863002218416482974139457143354918240435614593711849970840676805328165952156145107545213132889353222755573751308381e-131
135,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582,,0.5780509644444725,0.0,0.8160006632992495,,2.3172651930434672134241604762345105201422379520683714926739011706912707035566886471745544796488885777796357181222278798593416283149402216112e-136
140,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172,,0.5780509644444725,0.0,0.8160006632992495,,5.35940286205063618701262049655013990593819425247586572988139734853702536718741442323908815813399053926958492346836891978770951596068993046003586e-141
145,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594,,0.5780509644444725,0.0,0.8160006632992495,,8.12844278051405051635044206976265953183821039711617302927791547613281360993404904047625887963848301488570232419580758993175270114819353296911994023069e-147
150,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128,,0.5780509644444725,0.0,0.8160006632992495,,4.8111952338859433915402840970342126366250227763917680819068916805594885931373165311167443264602620176933185020792819875410296476290592862180588671929669319e-151
155,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111,,0.5780509644444725,0.0,0.8160006632992495,,7.450286563777737919261553001769303588875320940856461219016972721784644846546821024471783477641700565696988198249582479199707550776246610370082881894858327632875e-156
160,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502,,0.5780509644444725,0.0,0.8160006632992495,,8.41024319408537864210730355653473964991744205599832309994135607455883750834915624744814023093168395602104319914376118228138516280500938978474739266296206594367527996e-161
165,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102,,0.5780509644444725,0.0,0.8160006632992495,,7.0193869731794210276009999158455820404015332979497947001163221743839424984985827787096123859707384549198349421841933558604787262235446558467853307581982429422061967875189e-166
170,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193,,0.5780509644444725,0.0,0.8160006632992495,,8.521104076056267366271822672593409594985781351299074066327321668039744277462841786198005875608342782168705745039225716745518267448256474014614536015328578134521284208188978608e-171
175,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211,,0.5780509644444725,0.0,0.8160006632992495,,5.55960096720189071736804157453421041138983965824986873260455988997414044871465387203799789618411030999456492742715874028108470942789780193191832178782134967088785599886130693933162e-177
180,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559,,0.5780509644444725,0.0,0.8160006632992495,,6.44624417570826046904321490842802125257730896224430896319780370002416553346522800495760335706025763718526813134268142086556575113098685174013233752177469893099554135604986725503902798e-181
185,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462,,0.5780509644444725,0.0,0.8160006632992495,,2.948971683158727600010900054459085701684949638068036483314228197084460568439617270223652503938433589379943217738204388931271797350303397993233155490475049581003891331540511869549727405170213e-186
190,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489,,0.5780509644444725,0.0,0.8160006632992495,,5.49305009256987340192430027894400160134855623890889855841800015602709433404881427508190336875748971800151828735379942787360218300547417292574351805873618051532212980485573046063291448573154129566e-191
195,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493,,0.5780509644444725,0.0,0.8160006632992495,,3.81966018491759868086495061161544893181921440493887907849652277163204308548461574497366411977377231805761067740024693938645518449642925532035922977910448855430711310666545758608998096820512077134196e-196
200,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196,,0.5780509644444725,0.0,0.8160006632992495,,4.428794495051462821492421459860581513125626847669087648003644863799095173327227543478509559428188535910241098075882646230648122408136089851667390425813663841127862871611085385388462346416442447411899441761e-201
